name,customer_rating,distance,price,cuisine_id
Flavor Palace,2,2,20,14
Palaceadri,4,8,50,11
Hotspot Palace,1,3,35,3
Palaceopedia,5,10,25,8
Gusto Palace,5,10,30,9
Feed Palace,2,5,20,7
Smash Palace,1,9,10,1
Gnaw Palace,1,3,50,13
Dished Palace,5,7,25,5
Spicy PalaceClick to check domain availability.,2,6,10,9
Nouveau Palace,3,8,15,4
Relish Palace,2,3,40,9
Palaceistic,2,10,45,9
Palacearo,1,4,50,4
Place Palace,5,2,40,17
Aroma Palace,2,5,40,1
Fury Palace,5,3,30,17
Palacex,2,6,15,18
Palaceocity,1,7,25,15
Ambrosial Yummy,3,7,50,17
Nibble Yummy,1,8,15,2
Accent Yummy,5,3,40,17
Yummylia,1,1,40,5
Hotspot Yummy,1,3,45,17
Chef Yummy,4,9,10,12
Acclaimed Yummy,5,8,50,8
Yummyella,2,3,40,6
Palace Yummy,4,2,50,19
Sizzle Yummy,3,1,15,18
Galore Yummy,2,9,40,9
Yummyquipo,2,3,45,7
Divine Yummy,1,10,25,13
Aladdin Yummy,1,4,30,15
Yummyscape,1,3,35,13
Yummylance,1,9,10,6
Crisp Yummy,1,10,25,13
Cantina Yummy,5,6,20,18
Cellar Yummy,2,8,50,6
Festive Yummy,2,2,25,15
Upscale Yummy,2,10,45,11
Lucha Yummy,1,10,40,3
Diced Yummy,5,3,20,14
Factory Yummy,4,3,15,13
Dude Kitchen,4,10,35,5
Kitchengenics,4,3,20,8
Galore Kitchen,5,10,45,11
Story Kitchen,5,3,20,15
Kitchenbia,2,1,30,12
Fuel Kitchen,4,7,40,2
Dished Kitchen,5,3,30,14
Kitchenish,3,2,20,6
Bang Kitchen,1,1,40,11
Bit Kitchen,1,1,30,18
Kitchenlia,2,7,50,1
Kitchenster,2,1,10,1
Devine Kitchen,3,9,30,16
Connoisseur Kitchen,2,6,30,19
Munchies Kitchen,5,5,45,9
Fine Kitchen,2,10,20,17
Crisp Kitchen,1,3,35,2
Hut Kitchen,3,5,10,17
Kitchenvio,3,1,50,12
Kitchenarc,2,5,10,15
Kitchenry,4,6,40,11
Safety Kitchen,2,4,20,6
Smash Kitchen,1,2,50,7
Brew Kitchen,2,4,40,18
Connoisseur Bar,2,2,25,17
Bariva,5,10,40,10
Barscape,3,4,15,4
Hot Bar,4,4,20,2
Place Bar,3,5,50,13
Grill Bar,1,9,40,5
Dine Bar,5,10,35,15
Wave Bar,4,8,20,3
